int|type
x|identifier
,|comma
i|identifier
;|semi-colon
x|identifier
=|operator
0|integer
;|semi-colon
i|identifier
=|operator
1|integer
;|semi-colon
while|keyword
(|opening parentheses
i|identifier
<|LT
10|integer
)|closing parentheses
do|keyword
x|identifier
=|operator
x|identifier
+|operator
i|identifier
*|operator
i|identifier
;|semi-colon
i|identifier
=|operator
i|identifier
+|operator
1|integer
od|keyword
;|semi-colon
print|keyword
(|opening parentheses
x|identifier
)|closing parentheses
;|semi-colon
